                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83771,                0.86413,                0.95191,                 1.2754,                0.90962,                0.92965,                0.96524,                0.72239,                0.79363,                0.82952,                0.74318,                0.35502,                 1.0416,                0.41275,                0.76892,                  1.478,             0.00066462,             0.00066462,             0.00066462
                      2,                0.68954,                 0.5362,                0.58051,                 1.1507,                0.96103,                0.95501,                0.97854,                0.76772,                0.89592,                0.89298,                 0.8635,                0.43915,                0.87474,                 0.3816,                0.57534,                 1.3228,              0.0013181,              0.0013181,              0.0013181
                      3,                0.64906,                0.50381,                0.51713,                 1.1213,                0.95094,                0.94775,                0.97878,                0.79565,                0.81132,                0.82084,                0.75109,                0.39018,                0.82775,                0.38532,                0.53961,                 1.2219,              0.0019584,              0.0019584,              0.0019584
                      4,                  0.623,                0.47755,                 0.4869,                 1.1069,                0.96097,                0.96112,                0.98341,                0.81825,                0.89196,                0.89425,                0.83787,                 0.4631,                0.76328,                0.33703,                0.48422,                 1.1659,              0.0019406,              0.0019406,              0.0019406
                      5,                 0.5801,                 0.4462,                0.45761,                 1.0772,                0.97624,                0.96727,                0.98762,                0.82944,                0.94912,                0.94114,                0.92849,                0.54174,                0.75586,                0.29904,                0.47861,                  1.169,              0.0019208,              0.0019208,              0.0019208
                      6,                0.55654,                0.42748,                0.43907,                 1.0571,                0.97432,                0.96346,                0.98605,                0.84034,                0.95798,                0.94868,                0.94431,                0.59882,                0.72829,                0.27616,                0.45545,                  1.141,               0.001901,               0.001901,               0.001901
                      7,                0.53738,                0.41752,                 0.4262,                 1.0492,                0.97935,                 0.9645,                0.98406,                0.84207,                0.97691,                0.96265,                0.97672,                0.63127,                0.71022,                0.23918,                0.43347,                 1.1423,              0.0018812,              0.0018812,              0.0018812
                      8,                0.52208,                0.40508,                0.41547,                 1.0368,                0.97194,                0.96857,                0.99024,                0.85597,                0.96908,                0.96762,                0.97695,                 0.6461,                0.66054,                0.21558,                0.41601,                 1.0727,              0.0018614,              0.0018614,              0.0018614
                      9,                0.50847,                0.38978,                0.40512,                 1.0303,                0.97641,                0.96749,                0.98846,                 0.8561,                 0.9721,                0.96954,                0.97689,                0.65202,                0.66927,                0.22981,                0.40218,                 1.0636,              0.0018416,              0.0018416,              0.0018416
                     10,                0.49314,                0.37719,                0.39127,                 1.0179,                0.98018,                 0.9774,                0.99183,                0.87406,                0.98063,                0.97802,                0.98997,                0.68782,                0.63823,                0.20389,                0.38554,                 1.0444,              0.0018218,              0.0018218,              0.0018218
                     11,                0.48172,                0.36597,                0.37954,                  1.009,                0.97419,                 0.9736,                0.99082,                0.87143,                0.95358,                0.95501,                0.95049,                0.64563,                0.64813,                0.21466,                 0.3881,                 1.0254,               0.001802,               0.001802,               0.001802
                     12,                0.46635,                0.36768,                0.37589,                0.99796,                0.98187,                0.97763,                0.99318,                0.88034,                0.98083,                0.97659,                0.98293,                0.67778,                0.62226,                0.22176,                0.37198,                 1.0424,              0.0017822,              0.0017822,              0.0017822
                     13,                0.45698,                0.35831,                0.36692,                0.99521,                0.97907,                0.97685,                0.99308,                0.88457,                0.96248,                0.96084,                0.95457,                0.65696,                0.59903,                0.20236,                0.35811,                 0.9915,              0.0017624,              0.0017624,              0.0017624
