                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70988,                 1.0529,                 0.7165,                 1.1739,                0.98293,                0.95904,                0.98728,                0.86091,                 0.9769,                0.95332,                0.96759,                0.62699,                0.60984,                0.28337,                0.38685,                 1.0952,              0.0033231,              0.0033231,              0.0033231
                      2,                 0.5426,                0.45807,                0.42513,                 1.0193,                0.98277,                0.96476,                0.99131,                0.87243,                0.97856,                0.96242,                0.98282,                0.66349,                0.59926,                0.24336,                0.38277,                 1.0858,              0.0066235,              0.0066235,              0.0066235
                      3,                 0.5686,                0.43765,                0.43999,                 1.0227,                0.97823,                0.96502,                0.98851,                 0.8608,                0.97236,                0.96063,                 0.9755,                0.61051,                0.63777,                0.25154,                0.41303,                 1.0882,              0.0098908,              0.0098908,              0.0098908
                      4,                0.56808,                0.45781,                0.44127,                 1.0241,                 0.9852,                 0.9698,                0.99019,                 0.8776,                0.98758,                0.97214,                0.98442,                0.68242,                0.58038,                0.22745,                0.36966,                  1.065,              0.0098515,              0.0098515,              0.0098515
                      5,                0.53465,                0.41043,                0.41258,                 1.0095,                0.98491,                0.97308,                0.99158,                0.88634,                 0.9859,                0.97503,                 0.9859,                0.71021,                0.54677,                0.22135,                0.35734,                 1.0762,               0.009802,               0.009802,               0.009802
                      6,                0.50722,                0.38539,                0.39393,                0.99354,                0.98435,                0.97305,                 0.9927,                0.90081,                 0.9867,                0.97474,                0.99057,                0.71915,                0.51667,                0.21402,                0.34433,                 1.0329,              0.0097525,              0.0097525,              0.0097525
                      7,                0.49256,                0.37599,                0.37823,                0.98858,                0.99091,                0.96827,                0.99335,                0.90042,                0.98817,                0.96655,                 0.9817,                0.69846,                0.52457,                0.20298,                0.32955,                 1.0346,               0.009703,               0.009703,               0.009703
                      8,                0.46817,                0.36055,                0.36308,                0.97546,                0.98702,                 0.9789,                0.99363,                0.90603,                0.98709,                0.98088,                0.99375,                0.74327,                0.49537,                0.18275,                0.31808,                 1.0121,              0.0096535,              0.0096535,              0.0096535
                      9,                0.45481,                0.34573,                0.35204,                0.97004,                0.98882,                0.97781,                0.99371,                0.91229,                0.98924,                0.98002,                0.99388,                0.74087,                0.47866,                0.17733,                0.30136,                 1.0205,               0.009604,               0.009604,               0.009604
                     10,                0.43676,                0.33904,                0.34048,                0.95801,                0.99235,                0.97864,                0.99394,                0.91475,                0.99433,                0.98032,                0.99408,                0.75395,                0.47137,                0.17536,                0.29546,                 1.0467,              0.0095545,              0.0095545,              0.0095545
